mjd,mag,magerr
120.0,707.0,0.05
121.0,706.0,0.05
122.0,713.0,0.05
123.0,712.0,0.05
124.0,714.0,0.05
125.0,715.0,0.05
126.0,718.0,0.05
127.0,719.0,0.05
128.0,719.0,0.05
129.0,722.0,0.05
130.0,724.0,0.05
131.0,728.0,0.05
132.0,730.0,0.05
133.0,733.0,0.05
134.0,734.0,0.05
135.0,734.0,0.05
136.0,736.0,0.05
137.0,741.0,0.05
138.0,751.0,0.05
139.0,762.0,0.05
140.0,762.0,0.05
141.0,763.0,0.05
142.0,763.0,0.05
143.0,766.0,0.05
144.0,766.0,0.05
145.0,767.0,0.05
146.0,768.0,0.05
147.0,771.0,0.05
148.0,771.0,0.05
149.0,771.0,0.05
150.0,773.0,0.05
151.0,773.0,0.05
152.0,775.0,0.05
153.0,777.0,0.05
154.0,779.0,0.05
155.0,779.0,0.05
156.0,779.0,0.05
157.0,781.0,0.05
158.0,781.0,0.05
159.0,782.0,0.05
160.0,785.0,0.05
161.0,786.0,0.05
162.0,786.0,0.05
163.0,786.0,0.05
164.0,787.0,0.05
165.0,787.0,0.05
166.0,789.0,0.05
167.0,789.0,0.05
168.0,790.0,0.05
169.0,790.0,0.05
170.0,791.0,0.05
171.0,791.0,0.05
172.0,792.0,0.05
173.0,794.0,0.05
174.0,795.0,0.05
175.0,799.0,0.05
176.0,800.0,0.05
177.0,801.0,0.05
178.0,801.0,0.05
179.0,801.0,0.05
180.0,801.0,0.05
181.0,803.0,0.05
182.0,803.0,0.05
183.0,803.0,0.05
184.0,804.0,0.05
185.0,806.0,0.05
186.0,806.0,0.05
187.0,806.0,0.05
188.0,808.0,0.05
189.0,809.0,0.05
190.0,811.0,0.05
191.0,811.0,0.05
192.0,812.0,0.05
193.0,813.0,0.05
194.0,816.0,0.05
195.0,816.0,0.05
196.0,816.0,0.05
197.0,816.0,0.05
198.0,817.0,0.05
199.0,819.0,0.05
200.0,819.0,0.05
201.0,819.0,0.05
202.0,819.0,0.05
203.0,819.0,0.05
204.0,820.0,0.05
205.0,820.0,0.05
206.0,821.0,0.05
207.0,822.0,0.05
208.0,821.0,0.05
209.0,821.0,0.05
210.0,822.0,0.05
211.0,824.0,0.05
212.0,824.0,0.05
213.0,825.0,0.05
214.0,826.0,0.05
215.0,827.0,0.05
216.0,827.0,0.05
217.0,827.0,0.05
218.0,826.0,0.05
219.0,826.0,0.05
220.0,825.0,0.05
221.0,824.0,0.05
222.0,825.0,0.05
223.0,825.0,0.05
224.0,825.0,0.05
225.0,825.0,0.05
226.0,825.0,0.05
227.0,825.0,0.05
228.0,825.0,0.05
229.0,826.0,0.05
230.0,827.0,0.05
231.0,828.0,0.05
232.0,828.0,0.05
233.0,828.0,0.05
234.0,828.0,0.05
235.0,828.0,0.05
236.0,828.0,0.05
